証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
2301,2016/10,5105362000,1387927000,27.19,68.56,1189307000,1583431000,28,40.8,89.8
2303,2016/05,753386000,108374000,14.38,31.79,169030000,188488000,3.75,11.8,88
2304,2016/09,18129073000,447478000,2.47,92.01,376878000,1298250000,10,10.9,38.1
2305,2016/12,38719028000,5452333000,14.08,177.54,6408504000,8241604000,50,28.2,69.6
2307,2016/03,9396638000,515784000,5.49,20.67,211940000,580064000,6,29,49.6
2309,2016/09,62039000000,3363000000,5.42,46.95,6493000000,4946000000,16,34,35.5
2311,2016/12,3270477000,92378000,2.82,34.57,802003000,1711332000,27.5,79.6,86.1
2315,2016/10,5337111000,238945000,4.48,12.44,-270144000,704732000,-,0.01,21.7
2317,2016/03,42695000000,3172000000,7.43,5.66,2719000000,6634000000,2,35.3,57.9
2321,2016/03,346307000,-452869000,-130.77,-32.88,-279991000,1079778000,-,0,94.8
2323,2016/03,495148000,-12689000,-2.56,-1.74,9380000,323365000,-,-,51.1
2325,2016/12,16402166000,774436000,4.72,32.27,1797961000,10968203000,44,136.3,71.2
2326,2016/03,4000620000,1006925000,25.17,39.26,1027287000,2443875000,15,38.2,74.7
2327,2016/03,218530000000,19261000000,8.81,60,18247000000,43133000000,21.25,35.4,57.3
2329,2016/03,59933000000,4019714000,6.71,20.62,3404000000,28265000000,5.67,27.5,72
